ligand_id,barrier_kcal_per_mol,n_sp_windows,converged_scfs,source_batch
PV-000012043653,27.01,8,8,batch12
PV-000012057199,27.37,8,8,batch12
PV-000012147410,25.91,8,8,batch12
PV-000012169641,28.21,8,8,batch12
PV-000012353304,26.45,8,8,batch12
PV-000012029309,24.46,4,4,batch9
PV-000012147338,26.45,4,4,batch9
PV-000012231076,28.64,4,4,batch9
PV-000012275602,30.63,4,4,batch9
PV-000012301601,23.25,4,4,batch9
PV-000012328757,27.54,4,4,batch9
PV-000012328892,30.17,4,4,batch9
PV-000012337613,27.09,4,4,batch9
PV-000012372941,25.21,4,4,batch9
PV-000012384236,28.13,4,,batch10
PV-000012403122,27.78,4,,batch10
PV-000013925557,27.47,4,,batch10
PV-000015914520,26.12,4,,batch10
PV-000012392282,24.81,4,,batch10
PV-000013696201,29.06,4,,batch10
PV-000012392354,27.53,4,,batch10
PV-000012383213,27.21,4,,batch10
PV-000012437814,26.42,4,,batch10
PV-000233762202,24.23,4,4,batch11
PV-000233759505,28.52,4,4,batch11
PV-000233762214,25.6,4,4,batch11
PV-000101463982,25.09,4,4,batch11
PV-000015960707,29.8,4,4,batch11
PV-000234245338,28.82,4,4,batch13
PV-000234746429,25.52,4,4,batch13
PV-000234036735,28.03,4,4,batch13
PV-000234275599,27.23,4,4,batch13
PV-000234626688,26.9,4,4,batch13
PV-000233762591,29.65,4,4,batch13
PV-000234839131,24.73,4,4,batch13
PV-000234301520,25.21,4,4,batch13
PV-000234036482,27.44,4,4,batch13
PV-000239559910,28.31,4,4,batch14
PV-000234982102,27.76,4,4,batch14
PV-000234982290,25.44,4,4,batch14
PV-000238539836,25.28,4,4,batch14
PV-000235075125,26.34,4,4,batch14
PV-000235090682,27.96,4,4,batch14
PV-000233762503,27.22,4,4,rerun4
PV-000239559019,28.17,4,4,rerun4
PV-000235112478,27.03,4,4,rerun4
PV-000233762504,28.85,4,4,rerun4
